,ticker,corr w covid change,GICS Sector,GICS Sub-Industry,corr abs
0,A,-0.2344731410168891,Health Care,Health Care Equipment,0.2344731410168891
1,AAL,-0.2297363425670761,Industrials,Airlines,0.2297363425670761
2,AAP,-0.1286467271908495,Consumer Discretionary,Automotive Retail,0.1286467271908495
3,AAPL,-0.15106860245898346,Information Technology,"Technology Hardware, Storage & Peripherals",0.15106860245898346
4,ABBV,-0.08717420558676177,Health Care,Pharmaceuticals,0.08717420558676177
5,ABC,0.023246737958412467,Health Care,Health Care Distributors,0.023246737958412467
6,ABMD,-0.13009959097765827,Health Care,Health Care Equipment,0.13009959097765827
7,ABT,-0.0856171555377462,Health Care,Health Care Equipment,0.0856171555377462
8,ACN,-0.22071100680216246,Information Technology,IT Consulting & Other Services,0.22071100680216246
9,ADBE,-0.18087834514763892,Information Technology,Application Software,0.18087834514763892
10,ADI,-0.12510155380197618,Information Technology,Semiconductors,0.12510155380197618
11,ADM,-0.23491365203125966,Consumer Staples,Agricultural Products,0.23491365203125966
12,ADP,-0.1520789595252821,Information Technology,Internet Services & Infrastructure,0.1520789595252821
13,ADSK,-0.3816802804571176,Information Technology,Application Software,0.3816802804571176
14,AEE,-0.049007937670314784,Utilities,Multi-Utilities,0.049007937670314784
15,AEP,-0.047218294160571,Utilities,Electric Utilities,0.047218294160571
16,AES,-0.24656633598767244,Utilities,Independent Power Producers & Energy Traders,0.24656633598767244
17,AFL,-0.23953672532558545,Financials,Life & Health Insurance,0.23953672532558545
18,AIG,-0.2466918692243126,Financials,Property & Casualty Insurance,0.2466918692243126
19,AIV,-0.07037672750498376,Real Estate,Residential REITs,0.07037672750498376
20,AIZ,-0.2294849758026331,Financials,Multi-line Insurance,0.2294849758026331
21,AJG,-0.14547293627612315,Financials,Insurance Brokers,0.14547293627612315
22,AKAM,-0.0512710504898213,Information Technology,Internet Services & Infrastructure,0.0512710504898213
23,ALB,-0.16187365421933336,Materials,Specialty Chemicals,0.16187365421933336
24,ALGN,-0.18141482787288568,Health Care,Health Care Supplies,0.18141482787288568
25,ALK,-0.2523223230934989,Industrials,Airlines,0.2523223230934989
26,ALL,-0.19915633778864664,Financials,Property & Casualty Insurance,0.19915633778864664
27,ALLE,-0.1747542030612615,Industrials,Building Products,0.1747542030612615
28,ALXN,-0.18857011197167525,Health Care,Biotechnology,0.18857011197167525
29,AMAT,-0.2072890874232051,Information Technology,Semiconductor Equipment,0.2072890874232051
30,AMCR,-0.22748095639510435,Materials,Paper Packaging,0.22748095639510435
31,AMD,-0.12451663580184075,Information Technology,Semiconductors,0.12451663580184075
32,AME,-0.2265047053517397,Industrials,Electrical Components & Equipment,0.2265047053517397
33,AMGN,-0.009434279810693271,Health Care,Biotechnology,0.009434279810693271
34,AMP,-0.2998374907087299,Financials,Asset Management & Custody Banks,0.2998374907087299
35,AMT,-0.025042289264805503,Real Estate,Specialized REITs,0.025042289264805503
36,AMZN,-0.18445068473250464,Consumer Discretionary,Internet & Direct Marketing Retail,0.18445068473250464
37,ANET,-0.15591461402416915,Information Technology,Communications Equipment,0.15591461402416915
38,ANSS,-0.22290160354095626,Information Technology,Application Software,0.22290160354095626
39,ANTM,-0.004302876158570564,Health Care,Managed Health Care,0.004302876158570564
40,AON,-0.16316301570279618,Financials,Insurance Brokers,0.16316301570279618
41,AOS,-0.00692998018480036,Industrials,Building Products,0.00692998018480036
42,APA,-0.2998225957890782,Energy,Oil & Gas Exploration & Production,0.2998225957890782
43,APD,-0.1213442167081767,Materials,Industrial Gases,0.1213442167081767
44,APH,-0.2298158137787145,Information Technology,Electronic Components,0.2298158137787145
45,APTV,-0.18270272129991136,Consumer Discretionary,Auto Parts & Equipment,0.18270272129991136
46,ARE,-0.1333441332495538,Real Estate,Office REITs,0.1333441332495538
47,ATO,-0.04712360739087152,Utilities,Gas Utilities,0.04712360739087152
48,ATVI,-0.08189977119288802,Communication Services,Interactive Home Entertainment,0.08189977119288802
49,AVB,-0.05930577065671558,Real Estate,Residential REITs,0.05930577065671558
50,AVGO,-0.3301062460251494,Information Technology,Semiconductors,0.3301062460251494
51,AVY,-0.1544910407284583,Materials,Paper Packaging,0.1544910407284583
52,AWK,0.023968055275662373,Utilities,Water Utilities,0.023968055275662373
53,AXP,-0.14655245404314482,Financials,Consumer Finance,0.14655245404314482
54,AZO,-0.05287629789583674,Consumer Discretionary,Specialty Stores,0.05287629789583674
55,BA,-0.2107069745486986,Industrials,Aerospace & Defense,0.2107069745486986
56,BAC,-0.2592924483437279,Financials,Diversified Banks,0.2592924483437279
57,BAX,-0.09212432498507904,Health Care,Health Care Equipment,0.09212432498507904
58,BBY,-0.24011539436952706,Consumer Discretionary,Computer & Electronics Retail,0.24011539436952706
59,BDX,-0.0932592450503388,Health Care,Health Care Equipment,0.0932592450503388
60,BEN,-0.120140014194887,Financials,Asset Management & Custody Banks,0.120140014194887
61,BIIB,0.015737974786503944,Health Care,Biotechnology,0.015737974786503944
62,BIO,-0.10571866954921062,Health Care,Life Sciences Tools & Services,0.10571866954921062
63,BK,-0.2471916552406864,Financials,Asset Management & Custody Banks,0.2471916552406864
64,BKNG,-0.2658511417368793,Consumer Discretionary,Internet & Direct Marketing Retail,0.2658511417368793
65,BKR,-0.2647432058091302,Energy,Oil & Gas Equipment & Services,0.2647432058091302
66,BLK,-0.2580145966500241,Financials,Asset Management & Custody Banks,0.2580145966500241
67,BLL,-0.09689464471539662,Materials,Metal & Glass Containers,0.09689464471539662
68,BMY,-0.17102702040121198,Health Care,Health Care Distributors,0.17102702040121198
69,BR,-0.26830395181445144,Information Technology,Data Processing & Outsourced Services,0.26830395181445144
70,BRK.B,-0.12435927047049725,Financials,Multi-Sector Holdings,0.12435927047049725
71,BSX,-0.15761003365338952,Health Care,Health Care Equipment,0.15761003365338952
72,BWA,-0.2655138817925337,Consumer Discretionary,Auto Parts & Equipment,0.2655138817925337
73,BXP,-0.09701756445236127,Real Estate,Office REITs,0.09701756445236127
74,C,-0.22182562069299372,Financials,Diversified Banks,0.22182562069299372
75,CAG,-0.2843245912991666,Consumer Staples,Packaged Foods & Meats,0.2843245912991666
76,CAH,-0.1549567577730459,Health Care,Health Care Distributors,0.1549567577730459
77,CARR,-0.09597700264438652,Industrials,Building Products,0.09597700264438652
78,CAT,-0.3042617420068721,Industrials,Construction Machinery & Heavy Trucks,0.3042617420068721
79,CB,-0.1909342374515863,Financials,Property & Casualty Insurance,0.1909342374515863
80,CBOE,-0.2296404283031215,Financials,Financial Exchanges & Data,0.2296404283031215
81,CBRE,-0.2167801361215263,Real Estate,Real Estate Services,0.2167801361215263
82,CCI,0.06392286540487864,Real Estate,Specialized REITs,0.06392286540487864
83,CCL,-0.29253580336598983,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.29253580336598983
84,CDNS,-0.31055455124782305,Information Technology,Application Software,0.31055455124782305
85,CDW,-0.2179068223094701,Information Technology,Technology Distributors,0.2179068223094701
86,CE,-0.2648124599124088,Materials,Specialty Chemicals,0.2648124599124088
87,CERN,-0.1134264392191256,Health Care,Health Care Technology,0.1134264392191256
88,CF,-0.1682677265902904,Materials,Fertilizers & Agricultural Chemicals,0.1682677265902904
89,CFG,-0.3013073636814467,Financials,Regional Banks,0.3013073636814467
90,CHD,-0.0828077095441135,Consumer Staples,Household Products,0.0828077095441135
91,CHRW,-0.1613930294046747,Industrials,Air Freight & Logistics,0.1613930294046747
92,CHTR,-0.19847634383623747,Communication Services,Cable & Satellite,0.19847634383623747
93,CI,-0.060821859586328776,Health Care,Managed Health Care,0.060821859586328776
94,CINF,-0.07850046851291632,Financials,Property & Casualty Insurance,0.07850046851291632
95,CL,-0.039122531368326746,Consumer Staples,Household Products,0.039122531368326746
96,CLX,0.16832892183698184,Consumer Staples,Household Products,0.16832892183698184
97,CMA,-0.2884116277591302,Financials,Diversified Banks,0.2884116277591302
98,CMCSA,-0.18118926772403188,Communication Services,Cable & Satellite,0.18118926772403188
99,CME,-0.0591941365607757,Financials,Financial Exchanges & Data,0.0591941365607757
100,CMG,-0.32960911063082793,Consumer Discretionary,Restaurants,0.32960911063082793
101,CMI,-0.2280819505496013,Industrials,Industrial Machinery,0.2280819505496013
102,CMS,0.03799719172601115,Utilities,Multi-Utilities,0.03799719172601115
103,CNC,0.09317743018105433,Health Care,Managed Health Care,0.09317743018105433
104,CNP,-0.3080481813625661,Utilities,Multi-Utilities,0.3080481813625661
105,COF,-0.1864931166930848,Financials,Consumer Finance,0.1864931166930848
106,COG,0.2233289372150487,Energy,Oil & Gas Exploration & Production,0.2233289372150487
107,COO,-0.12338663606623475,Health Care,Health Care Supplies,0.12338663606623475
108,COP,-0.3126984673770366,Energy,Oil & Gas Exploration & Production,0.3126984673770366
109,COST,0.13292213968269084,Consumer Staples,Hypermarkets & Super Centers,0.13292213968269084
110,CPB,0.1722814352531299,Consumer Staples,Packaged Foods & Meats,0.1722814352531299
111,CPRT,-0.3438815349852488,Industrials,Diversified Support Services,0.3438815349852488
112,CRM,-0.18922180257709464,Information Technology,Application Software,0.18922180257709464
113,CSCO,-0.19544398460151904,Information Technology,Communications Equipment,0.19544398460151904
114,CSX,-0.31344806491945953,Industrials,Railroads,0.31344806491945953
115,CTAS,-0.1790802819370874,Industrials,Diversified Support Services,0.1790802819370874
116,CTLT,-0.2520283855726512,Health Care,Pharmaceuticals,0.2520283855726512
117,CTSH,-0.22540541558740276,Information Technology,IT Consulting & Other Services,0.22540541558740276
118,CTVA,-0.18430125999318134,Materials,Fertilizers & Agricultural Chemicals,0.18430125999318134
119,CTXS,0.055147011339974315,Information Technology,Application Software,0.055147011339974315
120,CVS,-0.0023722375656393987,Health Care,Health Care Services,0.0023722375656393987
121,CVX,-0.16585294515760082,Energy,Integrated Oil & Gas,0.16585294515760082
122,CXO,-0.29308523424030297,Energy,Oil & Gas Exploration & Production,0.29308523424030297
123,D,0.058275717533532126,Utilities,Electric Utilities,0.058275717533532126
124,DAL,-0.14318295872781522,Industrials,Airlines,0.14318295872781522
125,DD,-0.29078896935701065,Materials,Specialty Chemicals,0.29078896935701065
126,DE,-0.09501515782723048,Industrials,Agricultural & Farm Machinery,0.09501515782723048
127,DFS,-0.16692048524316672,Financials,Consumer Finance,0.16692048524316672
128,DG,0.025245111650427525,Consumer Discretionary,General Merchandise Stores,0.025245111650427525
129,DGX,-0.0891011656548717,Health Care,Health Care Services,0.0891011656548717
130,DHI,-0.2248471632269143,Consumer Discretionary,Homebuilding,0.2248471632269143
131,DHR,-0.18679049713781765,Health Care,Health Care Equipment,0.18679049713781765
132,DIS,-0.2533576929107218,Communication Services,Movies & Entertainment,0.2533576929107218
133,DISCA,-0.23461784929609905,Communication Services,Broadcasting,0.23461784929609905
134,DISCK,-0.2686016059147939,Communication Services,Broadcasting,0.2686016059147939
135,DISH,-0.34479920955586185,Communication Services,Cable & Satellite,0.34479920955586185
136,DLR,0.17996872907217887,Real Estate,Specialized REITs,0.17996872907217887
137,DLTR,-0.10830972045605232,Consumer Discretionary,General Merchandise Stores,0.10830972045605232
138,DOV,-0.2026048482924417,Industrials,Industrial Machinery,0.2026048482924417
139,DOW,-0.31870302508314385,Materials,Commodity Chemicals,0.31870302508314385
140,DPZ,0.30227263574212426,Consumer Discretionary,Restaurants,0.30227263574212426
141,DRE,-0.06988965147573396,Real Estate,Industrial REITs,0.06988965147573396
142,DRI,-0.28076027185001656,Consumer Discretionary,Restaurants,0.28076027185001656
143,DTE,-0.14346500122011596,Utilities,Multi-Utilities,0.14346500122011596
144,DUK,-0.05280262060251667,Utilities,Electric Utilities,0.05280262060251667
145,DVA,-0.08727637784522475,Health Care,Health Care Facilities,0.08727637784522475
146,DVN,-0.3875656781105884,Energy,Oil & Gas Exploration & Production,0.3875656781105884
147,DXC,-0.3848324837409677,Information Technology,IT Consulting & Other Services,0.3848324837409677
148,DXCM,-0.05923546933295711,Health Care,Health Care Equipment,0.05923546933295711
149,EA,-0.11970413031372175,Communication Services,Interactive Home Entertainment,0.11970413031372175
150,EBAY,-0.0865279417266123,Consumer Discretionary,Internet & Direct Marketing Retail,0.0865279417266123
151,ECL,-0.04307568862955997,Materials,Specialty Chemicals,0.04307568862955997
152,ED,0.048133312672529766,Utilities,Electric Utilities,0.048133312672529766
153,EFX,-0.06373345012767276,Industrials,Research & Consulting Services,0.06373345012767276
154,EIX,-0.1958371593867073,Utilities,Electric Utilities,0.1958371593867073
155,EL,-0.18367422822368035,Consumer Staples,Personal Products,0.18367422822368035
156,EMN,-0.3245171952261517,Materials,Diversified Chemicals,0.3245171952261517
157,EMR,-0.3239100338333073,Industrials,Electrical Components & Equipment,0.3239100338333073
158,EOG,-0.3584123864663397,Energy,Oil & Gas Exploration & Production,0.3584123864663397
159,EQIX,0.016620360509889288,Real Estate,Specialized REITs,0.016620360509889288
160,EQR,-0.04368368843600549,Real Estate,Residential REITs,0.04368368843600549
161,ES,0.0750398428106878,Utilities,Multi-Utilities,0.0750398428106878
162,ESS,-0.053414698516445834,Real Estate,Residential REITs,0.053414698516445834
163,ETN,-0.11639523586540595,Industrials,Electrical Components & Equipment,0.11639523586540595
164,ETR,-0.12453434109319388,Utilities,Electric Utilities,0.12453434109319388
165,ETSY,-0.10455538011322177,Consumer Discretionary,Internet & Direct Marketing Retail,0.10455538011322177
166,EVRG,-0.04186129497627748,Utilities,Electric Utilities,0.04186129497627748
167,EW,-0.1657780455292733,Health Care,Health Care Equipment,0.1657780455292733
168,EXC,-0.14020311233085042,Utilities,Multi-Utilities,0.14020311233085042
169,EXPD,-0.13722193861924326,Industrials,Air Freight & Logistics,0.13722193861924326
170,EXPE,-0.28709440980866324,Consumer Discretionary,Internet & Direct Marketing Retail,0.28709440980866324
171,EXR,-0.1076335028605778,Real Estate,Specialized REITs,0.1076335028605778
172,F,-0.24105253735370102,Consumer Discretionary,Automobile Manufacturers,0.24105253735370102
173,FANG,-0.3487955378153776,Energy,Oil & Gas Exploration & Production,0.3487955378153776
174,FAST,-0.1295971055139414,Industrials,Building Products,0.1295971055139414
175,FB,-0.2708545118753093,Communication Services,Interactive Media & Services,0.2708545118753093
176,FBHS,-0.2323507778092213,Industrials,Building Products,0.2323507778092213
177,FCX,-0.3387756070924788,Materials,Copper,0.3387756070924788
178,FDX,-0.30454344821952745,Industrials,Air Freight & Logistics,0.30454344821952745
179,FE,-0.07331159362083199,Utilities,Electric Utilities,0.07331159362083199
180,FFIV,-0.12773499447009226,Information Technology,Communications Equipment,0.12773499447009226
181,FIS,-0.15591433767736287,Information Technology,Data Processing & Outsourced Services,0.15591433767736287
182,FISV,-0.17596672284373627,Information Technology,Data Processing & Outsourced Services,0.17596672284373627
183,FITB,-0.26266088371247714,Financials,Regional Banks,0.26266088371247714
184,FLIR,-0.2893305436166716,Information Technology,Electronic Equipment & Instruments,0.2893305436166716
185,FLS,-0.3190143708126729,Industrials,Industrial Machinery,0.3190143708126729
186,FLT,-0.2334805514115969,Information Technology,Data Processing & Outsourced Services,0.2334805514115969
187,FMC,-0.15190759555656574,Materials,Fertilizers & Agricultural Chemicals,0.15190759555656574
188,FOX,-0.35800865709642016,Communication Services,Movies & Entertainment,0.35800865709642016
189,FOXA,-0.3513656401935601,Communication Services,Movies & Entertainment,0.3513656401935601
190,FRC,-0.21272699527445887,Financials,Regional Banks,0.21272699527445887
191,FRT,-0.04975104116015363,Real Estate,Retail REITs,0.04975104116015363
192,FTI,-0.33950301203316885,Energy,Oil & Gas Equipment & Services,0.33950301203316885
193,FTNT,-0.2322993946627468,Information Technology,Systems Software,0.2322993946627468
194,FTV,-0.2572956475231621,Industrials,Industrial Machinery,0.2572956475231621
195,GD,-0.16713011837923458,Industrials,Aerospace & Defense,0.16713011837923458
196,GE,-0.3393795348440648,Industrials,Industrial Conglomerates,0.3393795348440648
197,GILD,0.300217769114133,Health Care,Biotechnology,0.300217769114133
198,GIS,0.19682527115489232,Consumer Staples,Packaged Foods & Meats,0.19682527115489232
199,GL,-0.2800541432176529,Financials,Life & Health Insurance,0.2800541432176529
200,GLW,-0.14072157307426905,Information Technology,Electronic Components,0.14072157307426905
201,GM,-0.2070674551205687,Consumer Discretionary,Automobile Manufacturers,0.2070674551205687
202,GOOG,-0.3117327234078159,Communication Services,Interactive Media & Services,0.3117327234078159
203,GOOGL,-0.3203479986636797,Communication Services,Interactive Media & Services,0.3203479986636797
204,GPC,-0.18619812780312928,Consumer Discretionary,Specialty Stores,0.18619812780312928
205,GPN,-0.14434932297997566,Information Technology,Data Processing & Outsourced Services,0.14434932297997566
206,GPS,-0.23669486979499504,Consumer Discretionary,Apparel Retail,0.23669486979499504
207,GRMN,-0.2639134165063005,Consumer Discretionary,Consumer Electronics,0.2639134165063005
208,GS,-0.2366542462024755,Financials,Investment Banking & Brokerage,0.2366542462024755
209,GWW,-0.15339477280725605,Industrials,Industrial Machinery,0.15339477280725605
210,HAL,-0.454826980634258,Energy,Oil & Gas Equipment & Services,0.454826980634258
211,HAS,-0.3616391392646956,Consumer Discretionary,Leisure Products,0.3616391392646956
212,HBAN,-0.239809174131074,Financials,Regional Banks,0.239809174131074
213,HBI,-0.24446602875491702,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.24446602875491702
214,HCA,-0.2028392280036993,Health Care,Health Care Facilities,0.2028392280036993
215,HD,-0.1052418450647636,Consumer Discretionary,Home Improvement Retail,0.1052418450647636
216,HES,-0.2551632543593345,Energy,Integrated Oil & Gas,0.2551632543593345
217,HFC,-0.3161067408719785,Energy,Oil & Gas Refining & Marketing,0.3161067408719785
218,HIG,-0.15810202624009104,Financials,Property & Casualty Insurance,0.15810202624009104
219,HII,-0.23503108615845497,Industrials,Aerospace & Defense,0.23503108615845497
220,HLT,-0.2731747726385835,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.2731747726385835
221,HOLX,-0.2327551168158879,Health Care,Health Care Equipment,0.2327551168158879
222,HON,-0.14801086821977158,Industrials,Industrial Conglomerates,0.14801086821977158
223,HPE,-0.2830006967123976,Information Technology,"Technology Hardware, Storage & Peripherals",0.2830006967123976
224,HPQ,-0.13505511312099772,Information Technology,"Technology Hardware, Storage & Peripherals",0.13505511312099772
225,HRL,-0.16493204359117544,Consumer Staples,Packaged Foods & Meats,0.16493204359117544
226,HSIC,-0.26877858423304474,Health Care,Health Care Distributors,0.26877858423304474
227,HST,-0.18338318908177287,Real Estate,Hotel & Resort REITs,0.18338318908177287
228,HSY,-0.022021911535194474,Consumer Staples,Packaged Foods & Meats,0.022021911535194474
229,HUM,-0.029906874306470002,Health Care,Managed Health Care,0.029906874306470002
230,HWM,-0.2349008059749367,Industrials,Aerospace & Defense,0.2349008059749367
231,IBM,-0.2767588904002589,Information Technology,IT Consulting & Other Services,0.2767588904002589
232,ICE,-0.1602330332800545,Financials,Financial Exchanges & Data,0.1602330332800545
233,IDXX,-0.2049176679875056,Health Care,Health Care Equipment,0.2049176679875056
234,IEX,-0.267941868389424,Industrials,Industrial Machinery,0.267941868389424
235,IFF,-0.13605859280591226,Materials,Specialty Chemicals,0.13605859280591226
236,ILMN,-0.15542616271436568,Health Care,Life Sciences Tools & Services,0.15542616271436568
237,INCY,-0.048927025870140584,Health Care,Biotechnology,0.048927025870140584
238,INFO,-0.32109695504948954,Industrials,Research & Consulting Services,0.32109695504948954
239,INTC,-0.16575347860226386,Information Technology,Semiconductors,0.16575347860226386
240,INTU,-0.12450418225665258,Information Technology,Application Software,0.12450418225665258
241,IP,-0.18771113267999004,Materials,Paper Packaging,0.18771113267999004
242,IPG,-0.23351752617791074,Communication Services,Advertising,0.23351752617791074
243,IPGP,-0.2408265431205644,Information Technology,Electronic Manufacturing Services,0.2408265431205644
244,IQV,-0.2406802989994857,Health Care,Life Sciences Tools & Services,0.2406802989994857
245,IR,-0.3646664133621985,Industrials,Industrial Machinery,0.3646664133621985
246,IRM,-0.016065893502469758,Real Estate,Specialized REITs,0.016065893502469758
247,ISRG,-0.13887739381061884,Health Care,Health Care Equipment,0.13887739381061884
248,IT,-0.22439239887119972,Information Technology,IT Consulting & Other Services,0.22439239887119972
249,ITW,-0.17800278865345662,Industrials,Industrial Machinery,0.17800278865345662
250,IVZ,-0.26385679128896034,Financials,Asset Management & Custody Banks,0.26385679128896034
